DateKey,Date,Year,Quarter,Month,MonthName,MonthYear,Week,Day,DayOfWeek,IsWeekend,FiscalYear,Season,IsFestivalWindow
20220801,2022-08-01,2022,3,8,Aug,Aug-2022,31,1,Monday,False,FY23,Monsoon,False
20220802,2022-08-02,2022,3,8,Aug,Aug-2022,31,2,Tuesday,False,FY23,Monsoon,False
20220803,2022-08-03,2022,3,8,Aug,Aug-2022,31,3,Wednesday,False,FY23,Monsoon,False
20220804,2022-08-04,2022,3,8,Aug,Aug-2022,31,4,Thursday,False,FY23,Monsoon,False
20220805,2022-08-05,2022,3,8,Aug,Aug-2022,31,5,Friday,False,FY23,Monsoon,False
20220806,2022-08-06,2022,3,8,Aug,Aug-2022,31,6,Saturday,True,FY23,Monsoon,False
20220807,2022-08-07,2022,3,8,Aug,Aug-2022,31,7,Sunday,True,FY23,Monsoon,False
20220808,2022-08-08,2022,3,8,Aug,Aug-2022,32,8,Monday,False,FY23,Monsoon,False
20220809,2022-08-09,2022,3,8,Aug,Aug-2022,32,9,Tuesday,False,FY23,Monsoon,False
20220810,2022-08-10,2022,3,8,Aug,Aug-2022,32,10,Wednesday,False,FY23,Monsoon,False
20220811,2022-08-11,2022,3,8,Aug,Aug-2022,32,11,Thursday,False,FY23,Monsoon,False
20220812,2022-08-12,2022,3,8,Aug,Aug-2022,32,12,Friday,False,FY23,Monsoon,False
20220813,2022-08-13,2022,3,8,Aug,Aug-2022,32,13,Saturday,True,FY23,Monsoon,False
20220814,2022-08-14,2022,3,8,Aug,Aug-2022,32,14,Sunday,True,FY23,Monsoon,False
20220815,2022-08-15,2022,3,8,Aug,Aug-2022,33,15,Monday,False,FY23,Monsoon,False
20220816,2022-08-16,2022,3,8,Aug,Aug-2022,33,16,Tuesday,False,FY23,Monsoon,False
20220817,2022-08-17,2022,3,8,Aug,Aug-2022,33,17,Wednesday,False,FY23,Monsoon,False
20220818,2022-08-18,2022,3,8,Aug,Aug-2022,33,18,Thursday,False,FY23,Monsoon,False
20220819,2022-08-19,2022,3,8,Aug,Aug-2022,33,19,Friday,False,FY23,Monsoon,False
20220820,2022-08-20,2022,3,8,Aug,Aug-2022,33,20,Saturday,True,FY23,Monsoon,False
20220821,2022-08-21,2022,3,8,Aug,Aug-2022,33,21,Sunday,True,FY23,Monsoon,False
20220822,2022-08-22,2022,3,8,Aug,Aug-2022,34,22,Monday,False,FY23,Monsoon,False
20220823,2022-08-23,2022,3,8,Aug,Aug-2022,34,23,Tuesday,False,FY23,Monsoon,False
20220824,2022-08-24,2022,3,8,Aug,Aug-2022,34,24,Wednesday,False,FY23,Monsoon,False
20220825,2022-08-25,2022,3,8,Aug,Aug-2022,34,25,Thursday,False,FY23,Monsoon,False
20220826,2022-08-26,2022,3,8,Aug,Aug-2022,34,26,Friday,False,FY23,Monsoon,False
20220827,2022-08-27,2022,3,8,Aug,Aug-2022,34,27,Saturday,True,FY23,Monsoon,False
20220828,2022-08-28,2022,3,8,Aug,Aug-2022,34,28,Sunday,True,FY23,Monsoon,False
20220829,2022-08-29,2022,3,8,Aug,Aug-2022,35,29,Monday,False,FY23,Monsoon,False
20220830,2022-08-30,2022,3,8,Aug,Aug-2022,35,30,Tuesday,False,FY23,Monsoon,False
20220831,2022-08-31,2022,3,8,Aug,Aug-2022,35,31,Wednesday,False,FY23,Monsoon,False
20220901,2022-09-01,2022,3,9,Sep,Sep-2022,35,1,Thursday,False,FY23,Monsoon,False
20220902,2022-09-02,2022,3,9,Sep,Sep-2022,35,2,Friday,False,FY23,Monsoon,False
20220903,2022-09-03,2022,3,9,Sep,Sep-2022,35,3,Saturday,True,FY23,Monsoon,False
20220904,2022-09-04,2022,3,9,Sep,Sep-2022,35,4,Sunday,True,FY23,Monsoon,False
20220905,2022-09-05,2022,3,9,Sep,Sep-2022,36,5,Monday,False,FY23,Monsoon,False
20220906,2022-09-06,2022,3,9,Sep,Sep-2022,36,6,Tuesday,False,FY23,Monsoon,False
20220907,2022-09-07,2022,3,9,Sep,Sep-2022,36,7,Wednesday,False,FY23,Monsoon,False
20220908,2022-09-08,2022,3,9,Sep,Sep-2022,36,8,Thursday,False,FY23,Monsoon,False
20220909,2022-09-09,2022,3,9,Sep,Sep-2022,36,9,Friday,False,FY23,Monsoon,False
20220910,2022-09-10,2022,3,9,Sep,Sep-2022,36,10,Saturday,True,FY23,Monsoon,False
20220911,2022-09-11,2022,3,9,Sep,Sep-2022,36,11,Sunday,True,FY23,Monsoon,False
20220912,2022-09-12,2022,3,9,Sep,Sep-2022,37,12,Monday,False,FY23,Monsoon,False
20220913,2022-09-13,2022,3,9,Sep,Sep-2022,37,13,Tuesday,False,FY23,Monsoon,False
20220914,2022-09-14,2022,3,9,Sep,Sep-2022,37,14,Wednesday,False,FY23,Monsoon,False
20220915,2022-09-15,2022,3,9,Sep,Sep-2022,37,15,Thursday,False,FY23,Monsoon,False
20220916,2022-09-16,2022,3,9,Sep,Sep-2022,37,16,Friday,False,FY23,Monsoon,False
20220917,2022-09-17,2022,3,9,Sep,Sep-2022,37,17,Saturday,True,FY23,Monsoon,False
20220918,2022-09-18,2022,3,9,Sep,Sep-2022,37,18,Sunday,True,FY23,Monsoon,False
20220919,2022-09-19,2022,3,9,Sep,Sep-2022,38,19,Monday,False,FY23,Monsoon,False
20220920,2022-09-20,2022,3,9,Sep,Sep-2022,38,20,Tuesday,False,FY23,Monsoon,False
20220921,2022-09-21,2022,3,9,Sep,Sep-2022,38,21,Wednesday,False,FY23,Monsoon,False
20220922,2022-09-22,2022,3,9,Sep,Sep-2022,38,22,Thursday,False,FY23,Monsoon,False
20220923,2022-09-23,2022,3,9,Sep,Sep-2022,38,23,Friday,False,FY23,Monsoon,False
